top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    298 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [scsi_e+
    299 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    416 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    424 root      20   0       0      0      0 I   0.0   0.0   0:06.82 [kworke+
    429 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    430 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [card1-+
    431 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [card1-+
    432 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [card1-+
    433 root       0 -20       0      0      0 I   0.0   0.0   0:01.41 [kworke+
    441 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nv_que+
    442 root      20   0       0      0      0 S   0.0   0.0   0:00.03 [nv_mem+
    443 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nv_mem+
    444 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nv_mem+
    445 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nv_que+
    446 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nv_ope+
    450 root      20   0       0      0      0 S   0.0   0.0   0:18.47 [nvidia+
    451 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
    452 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/13+
    453 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia]
    454 root      20   0       0      0      0 S   0.0   0.0   0:00.05 [nv_que+
    464 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [UVM gl+
    465 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [UVM de+
    466 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [UVM To+
    473 root      20   0       0      0      0 I   0.0   0.0   0:05.78 [kworke+
